,word,pos,entropy
2780,take,v,2.8151062515756373
2843,thing,n,2.8128685083668987
1747,meet,v,2.774647520362166
1606,lead,v,2.6849820403861235
1613,leave,v,2.3864951158681773
2493,serve,v,2.3591474949708653
1271,give,v,2.2685383380798423
2256,raise,v,2.234669100831826
733,cover,v,2.1594706670121715
2085,play,v,2.151680381933271
1319,grow,v,2.10343769975151
262,apply,v,2.0694925100414023
1631,life,n,2.0401576355655684
1192,follow,v,2.0185233432376575
2865,time,n,2.002841765003737
1154,find,v,1.996949982035844
2918,trouble,n,1.9738893130618014
808,deny,v,1.9701081301924126
865,discover,v,1.9588470712818158
352,back,r,1.9474068811364393
1642,line,n,1.912233987622732
1705,make,v,1.9039109280197704
3098,work,v,1.89959849670376
2535,show,v,1.8965882691821214
1126,feel,v,1.8949218437492206
782,death,n,1.8943249017489554
145,accept,v,1.8885521626143795
2267,reach,v,1.8782203264261244
3086,wish,v,1.8712130363856783
1347,have,v,1.8707451976246057
3102,world,n,1.8656682230614923
1201,force,n,1.8614004981280574
479,call,v,1.850006160954403
3109,write,v,1.8351129948246672
2778,system,n,1.832076313498926
2498,set,v,1.8314216022357548
1383,history,n,1.7981302364384961
1820,move,v,1.7890235700845696
526,change,n,1.781963881824319
984,end,n,1.772543316780131
2536,side,n,1.7677549030282107
1958,open,v,1.763864032920705
2349,represent,v,1.7633641984729462
2285,receive,v,1.7561056430619328
2465,section,n,1.746881936456556
778,day,n,1.7446501694263055
2469,see,v,1.7209534595342852
2075,place,n,1.7185194955193304
1386,hold,v,1.7156016683369506
2846,think_of,v,1.7053342506164972
914,drive,v,1.68329215557638
602,come,v,1.6609514404177634
449,bring,v,1.6529514490258512
2660,state,n,1.6511430259225932
2015,part,n,1.612205772838574
2816,tell,v,1.6084929966193509
1569,know,v,1.6034015080839683
2735,suffer,v,1.584432282978147
1209,form,v,1.5804875705837595
342,avoid,v,1.580145470046362
2046,perform,v,1.578306427326721
2440,scene,n,1.5763876836359467
1472,indicate,v,1.5722287630593852
2501,settle,v,1.5722260200806404
283,arrange,v,1.5708596847231586
2638,spirit,n,1.5698145923700115
1904,note,v,1.569616754514801
1278,go,v,1.5686808988303984
2394,right,r,1.5683637920859685
731,course,n,1.5663524721908524
2002,paint,v,1.565574069793937
2875,together,r,1.56240908428291
1077,expression,n,1.5597895278350613
855,direction,n,1.543729625637546
720,corner,n,1.541524223527652
1703,major,a,1.5388976349892525
1065,experience,n,1.5358536364396158
2648,stage,n,1.5356567816703635
905,draw,v,1.5343371980653047
833,develop,v,1.5338236975176884
2300,refer,v,1.530618994848517
2525,shoot,v,1.5303120366919818
2398,rise,v,1.527178431943376
1719,mark,v,1.5240434731607448
2047,performance,n,1.5233498010622486
1171,fit,v,1.5223368071545618
2700,strike,v,1.5215018900472137
2659,start,v,1.5188437932433765
2623,space,n,1.5187507009097019
2844,think,v,1.5182936792422672
2714,study,v,1.5177251219910801
441,break,v,1.5166238110793633
1263,get,v,1.5096363891492828
1162,fire,v,1.5083540234191586
701,contribute,v,1.5029852292101191
1253,gain,v,1.5007878619027473
2480,sense,n,1.496387226993904
1544,item,n,1.491512321370904
1310,great,s,1.4912770974669562
240,answer,n,1.4895274024025493
2021,particular,s,1.4855795798011682
2078,plan,v,1.4824783834752846
1743,measure,v,1.4814746538850163
1385,hit,v,1.4802633805403866
2184,produce,v,1.4732202517929909
1397,hope,v,1.472564261373753
781,deal,v,1.472513749357935
2618,sound,n,1.4712932185766467
1254,game,n,1.4707311511307735
3038,watch,v,1.4568308932827967
1338,hang,v,1.4547509823331688
2024,party,n,1.4541807323020552
2624,speak,v,1.4500613909037192
1341,hard,a,1.4448467229655133
1357,heart,n,1.4424818181915766
527,change,v,1.4413678325547838
1684,love,v,1.4411527094993095
1076,express,v,1.434377290944614
1860,need,v,1.4278000962921567
3025,wait,v,1.420808296061842
787,declare,v,1.4160013007337013
1634,light,n,1.4156332062186274
2096,point,n,1.4134178478753567
2386,reveal,v,1.4134178478753567
1106,far,r,1.4126800388164762
1702,maintain,v,1.4054342437848957
1411,human,a,1.4044551990351313
2233,put,v,1.402340119290613
676,consider,v,1.394830833453816
2115,position,n,1.392461483252758
916,drop,v,1.3919702465210304
2084,play,n,1.3917144813646967
1136,field,n,1.3916128814599005
2289,recognize,v,1.39050971585982
576,close,v,1.3743794325609968
1536,involve,v,1.372482228697493
2987,value,n,1.360964047443681
2142,prepare,v,1.3604730389109894
2334,remain,v,1.355595380399152
2755,support,v,1.3548708565658478
2348,report,v,1.348106130062573
2237,quality,n,1.3442502541596542
2833,then,r,1.340220539968228
1558,keep,v,1.3353920420885956
985,end,v,1.3335410506649712
2338,remember,v,1.3332361193357403
3057,well,r,1.3330443114239643
1948,once,r,1.328820380147645
2147,present,v,1.3285216398294963
2378,result,n,1.3276614050461624
2620,source,n,1.3257519053652946
2653,stand,v,1.3185058440138706
388,begin,v,1.30017238678969
2479,send,v,1.2963318321859545
2909,treat,v,1.2962872661047358
2739,suggest,v,1.2882167238882554
2666,stay,v,1.2819683318512713
373,be,v,1.254550847700464
2258,range,n,1.2297464127343725
2592,so,r,1.2163791378069158
499,case,n,1.2119364462553628
1674,look,v,1.207066096520423
2761,surface,n,1.2013501705669356
1710,man,n,1.1876221387026553
832,determine,v,1.1865641271536418
297,ask,v,1.1785076650486637
1658,live,v,1.1581506830054593
695,continue,v,1.1562771759512425
1147,fill,v,1.1443414160813739
1932,occur,v,1.142941349727979
1953,only,r,1.1390803748965739
548,choose,v,1.1157602463144523
1516,interest,n,1.1049844412475445
307,assume,v,1.0652400194324225
1555,just,r,1.0345415351497145
275,area,n,1.002967626870442
703,control,n,1.0
2960,unique,s,1.0
2464,secretary,n,1.0
1730,matter,n,1.0
1903,note,n,1.0
2202,property,n,1.0
2350,representation,n,1.0
2439,scale,n,1.0
1907,notion,n,1.0
1742,measure,n,1.0
2447,scientific,a,1.0
2656,standard,n,1.0
313,at_least,r,0.9999454550766408
1078,extend,v,0.9997431860710851
1574,labor,n,0.9995256892936492
2993,various,s,0.9994730201859837
1118,fear,v,0.9994730201859837
751,culture,n,0.9994110647387552
429,bond,n,0.9993375041688846
1728,match,v,0.9993375041688846
2894,trade,n,0.9992492479956566
1268,get_up,v,0.9990102708804813
617,commit,v,0.9988455359952018
534,charge,v,0.9988455359952018
468,burn,v,0.9986359641585719
2456,search,v,0.9986359641585719
1226,frequency,n,0.9986359641585719
923,duty,n,0.9986359641585719
2189,professional,a,0.9986359641585719
919,dry,v,0.9986359641585719
151,account,n,0.9986359641585719
1961,operation,n,0.9986359641585719
1443,impose,v,0.9986359641585719
2060,phase,n,0.9986359641585719
1942,old,a,0.9984308211272699
798,definition,n,0.998363672593813
461,brush,v,0.998363672593813
1281,go_down,v,0.998363672593813
547,choice,n,0.998363672593813
2148,preserve,v,0.9980008838722995
2915,trial,n,0.9979139338855982
2316,reject,v,0.997772472089982
1873,news,n,0.9975025463691153
3018,voice,n,0.9972943816462349
1668,long,a,0.9971803988942641
507,cause,n,0.9971803988942641
2799,task,n,0.9967916319816367
402,benefit,n,0.9967916319816367
2204,propose,v,0.996485989886783
2842,thin,a,0.9963165195589622
601,combine,v,0.9963165195589622
308,assumption,n,0.9963165195589622
1173,fix,v,0.9963165195589622
2961,unit,n,0.9957274520849256
551,circle,n,0.9957274520849256
2582,smell,v,0.9957274520849256
2855,threaten,v,0.995252549439679
2590,snow,n,0.99498482818597
3111,wrong,a,0.99498482818597
1629,lie,v,0.9949078777104005
2379,result,v,0.9948631079048572
1196,foot,n,0.9941939797828719
2156,pretend,v,0.9940302114769566
2910,treatment,n,0.9940302114769566
134,abandon,v,0.9940302114769566
1508,insure,v,0.9940302114769566
1663,local,a,0.9937489109291138
549,church,n,0.9936507116910405
298,aspect,n,0.9934472383802027
1649,list,v,0.9934472383802027
1305,grant,v,0.9932338197397066
2026,pass_through,v,0.9932338197397066
2032,pattern,n,0.9930554830121975
1090,face,v,0.9927744539878083
868,discussion,n,0.9924760039430819
2540,sign,v,0.9922666387194963
766,dance,v,0.9922666387194963
2213,prove,v,0.9920686248447117
2069,pick_up,v,0.9918207974218425
3091,wonder,v,0.9910760598382222
299,assemble,v,0.9910760598382222
2552,sing,v,0.9901226308935799
2265,rather,r,0.9900829509840567
2430,same,a,0.9900829509840567
2108,poor,s,0.9899927915575186
2246,quite,r,0.989884644089986
3097,work,n,0.9897931752818661
490,captain,n,0.9895875212220555
1369,hero,n,0.9895875212220555
2183,proclaim,v,0.9895875212220555
2405,roll,v,0.9892452969285004
794,defend,v,0.9886994082884974
2097,point,v,0.9886994082884974
1023,establish,v,0.9886994082884974
1440,imply,v,0.9886994082884974
2242,question,v,0.9886994082884974
2877,tone,n,0.9881108365218302
1183,flow,v,0.9876925088958033
1150,final,s,0.9876925088958033
805,demonstrate,v,0.9876925088958033
907,dream,v,0.9876925088958033
934,earth,n,0.9871377743721862
498,carry_out,v,0.9867867202680318
2079,plane,n,0.9867867202680318
3019,volume,n,0.9865446300055644
2101,policy,n,0.9862325350724501
819,design,n,0.9852281360342515
2684,story,n,0.9852281360342515
2889,total,s,0.9841095278800533
704,control,v,0.9839393951635759
933,earn,v,0.9833761901392238
3001,very,s,0.9833761901392238
1464,increase,v,0.9830968737122373
581,cloud,n,0.9828586897127057
2887,toss,v,0.9828586897127057
2139,prefer,v,0.9819407868640977
2971,upper,s,0.9811522341999134
399,below,r,0.9811522341999134
2036,payment,n,0.980597440991727
1142,fight,v,0.980377508715691
2904,transform,v,0.9798687566511527
1075,expose,v,0.9798687566511527
2005,pair,n,0.9798687566511527
2241,question,n,0.9795438195294628
661,conduct,v,0.9793399259567799
2145,present,a,0.9789987370022761
1970,order,v,0.9788698505067782
1681,loss,n,0.9784493292686188
679,consideration,n,0.9784493292686188
2058,persuade,v,0.9784493292686188
1740,meaning,n,0.9782176659354249
2965,university,n,0.9774178175281716
1534,investigate,v,0.975119064940866
3100,work_out,v,0.975119064940866
2809,technical,a,0.975119064940866
2683,store,v,0.975119064940866
1732,maturity,n,0.975119064940866
562,class,n,0.9744894033980523
1103,family,n,0.9744894033980523
1849,natural,a,0.974024864435752
1531,introduce,v,0.9733854352299557
2513,share,v,0.9729661265889025
826,destroy,v,0.9726699911457106
835,development,n,0.9720334868479674
253,apart,r,0.9709505944546688
2088,please,v,0.9709505944546688
1098,faith,n,0.9709505944546688
1193,following,s,0.9709505944546688
927,ear,n,0.9709505944546688
1079,extension,n,0.9709505944546688
2450,score,v,0.9709505944546688
2716,subject,n,0.9709505944546688
393,belief,n,0.9709505944546688
381,become,v,0.9709505944546688
1751,memory,n,0.9709505944546688
2390,ride,v,0.9694309156463241
2419,run,v,0.96838448165791
1640,limit,v,0.9677884628267678
530,character,n,0.9677884628267678
1081,extent,n,0.9677884628267678
2767,survive,v,0.9672947789468945
1557,justify,v,0.9666186325481027
1654,little,a,0.9659594947259894
166,activity,n,0.9656361333706097
225,amount,n,0.9637261681930318
347,away,r,0.9631672450918831
1494,inside,r,0.9629004147713268
1673,look,n,0.9629004147713268
1581,land,n,0.9621461334087001
2698,stretch,v,0.961236604722876
1096,failure,n,0.961236604722876
582,club,n,0.961236604722876
2270,read,v,0.9610173739815361
2427,sale,n,0.9601186626422924
511,cell,n,0.9598636448150403
993,enjoy,v,0.9578630237479795
2522,shift,v,0.9575534837147484
3077,win,v,0.9568886656798214
2994,vary,v,0.9561550236844027
1166,first,r,0.954434002924965
2119,possibility,n,0.954434002924965
2706,strong,s,0.954434002924965
2357,requirement,n,0.954434002924965
2159,prevent,v,0.9534985819759996
162,act,v,0.9526092095121206
2339,remind,v,0.9517626756348312
2161,previous,s,0.9517626756348312
856,directly,r,0.9517626756348312
1783,miss,v,0.9517626756348312
758,curve,n,0.9509560484549724
264,appreciate,v,0.9509560484549724
2572,slide,v,0.9509560484549724
1351,head,v,0.9486131982385807
1657,little,s,0.9480782435939054
1759,message,n,0.9480782435939054
2355,require,v,0.94753043531895
1744,measurement,n,0.9470622432515329
2264,rate,n,0.946343998170766
2082,plant,n,0.9456603046006401
161,act,n,0.9456603046006401
425,board,n,0.9456603046006401
1650,listen,v,0.9447388286467889
281,around,r,0.943601631299382
328,attract,v,0.943601631299382
881,distribution,n,0.943601631299382
574,close,a,0.9432261548473416
820,design,v,0.9418285354475157
2277,reality,n,0.9418285354475157
2885,top,n,0.9418285354475157
1241,function,n,0.9411864371816834
1161,fire,n,0.940285958670631
2627,special,s,0.940285958670631
1552,judgment,n,0.940285958670631
2726,success,n,0.940285958670631
1396,hope,n,0.9389320105807949
1368,here,r,0.9385422559379926
2372,response,n,0.9383153522334069
1333,half,s,0.9383153522334069
1339,happen,v,0.9374806998946041
849,difficulty,n,0.9366673818775625
3030,war,n,0.9366673818775625
770,dark,a,0.9366673818775625
2880,too,r,0.9364678403021375
1256,gas,n,0.9352691398683567
2708,structure,n,0.9352691398683567
2071,piece,n,0.9352691398683567
2643,spread,v,0.9340680553754911
1627,level,n,0.933222699412588
1155,find_out,v,0.9313043685793762
1605,lay,v,0.9283620723948678
147,accompany,v,0.9283620723948678
1046,exceed,v,0.9283620723948678
2937,turn_to,v,0.9283620723948678
665,confront,v,0.9283620723948678
1354,hear,v,0.9275411740102957
1276,glass,n,0.9275265884316759
2497,set,n,0.9262122127346664
801,deliver,v,0.9256859869821298
1322,growth,n,0.9241335419915458
2009,paper,n,0.9235785996175947
1611,learn,v,0.922825073250271
1794,moment,n,0.9213796449361407
2187,production,n,0.9182958340544894
1790,model,n,0.9182958340544894
2000,pain,n,0.9182958340544894
2532,shout,v,0.9182958340544894
1203,foreign,a,0.9182958340544894
883,divide,v,0.9182958340544894
170,add,v,0.9165590271665273
1461,include,v,0.9162739525300685
728,country,n,0.915207326151564
1800,more,a,0.914821008714452
2035,pay,v,0.9132829641650988
2861,thus,r,0.913122490909417
1796,month,n,0.9117517586347538
1095,fail,v,0.9111178649415465
2250,radiation,n,0.9108783787500366
1914,number,n,0.9097361225311661
1602,law,n,0.9093934226727597
2779,table,n,0.9093934226727597
2725,succeed,v,0.9090221560878149
1969,order,n,0.9090221560878149
2530,shot,n,0.9090221560878149
888,dollar,n,0.9081783472997053
1044,examine,v,0.9081783472997053
1906,notice,v,0.906579548498746
799,degree,n,0.9052002969560479
2529,short,a,0.9052002969560479
276,argue,v,0.9043814577244939
1483,information,n,0.9037762882345833
1956,open,a,0.9034535552068337
1952,one,s,0.9028184990574493
2512,share,n,0.9023932827949789
796,define,v,0.9011701959974223
1865,neighborhood,n,0.9011701959974223
1287,go_to,v,0.9003418708227195
2186,product,n,0.8989377852081333
2673,step,n,0.8986533756907481
725,cost,v,0.8974271930876951
1285,go_out,v,0.8960382325345574
1935,offer,v,0.8950051289257759
619,common,a,0.8944518845341284
1890,nod,v,0.8926230133850988
1547,job,n,0.8913309584070231
2895,tradition,n,0.8904916402194913
2305,regard,v,0.8904916402194913
1180,floor,n,0.8904916402194913
1874,newspaper,n,0.8904916402194913
394,believe,v,0.8893751863481874
1092,fact,n,0.8856128713989709
2650,staining,n,0.8849636363831529
2850,though,r,0.8849636363831529
700,contrast,n,0.8849636363831529
884,do,v,0.8833573858997578
2756,suppose,v,0.8829589691462253
2152,pressure,n,0.8800270477157601
1859,need,n,0.8800270477157601
1729,material,n,0.8791357668533337
558,claim,n,0.8779620013943912
1365,help,v,0.877311937374348
1149,film,n,0.876716288999464
814,derive,v,0.8739810481273579
2671,stem,n,0.8739810481273579
2192,program,n,0.8729882944709463
1513,intensity,n,0.8721617883411699
2773,swing,v,0.8721617883411699
2182,process,n,0.8721617883411699
470,business,n,0.8716836171199819
559,claim,v,0.8708644692353646
544,child,n,0.870346054692958
536,check,v,0.8680403986166402
204,air,n,0.8667256130949591
239,another,s,0.8663006754980497
1037,evidence,n,0.8605553930586319
2304,refuse,v,0.8599530497177523
1973,organization,n,0.8582307926411411
2280,reason,n,0.8538738465459897
1100,fall,v,0.8524051786494786
1723,marriage,n,0.8524051786494786
737,create,v,0.8518455800500334
2128,power,n,0.8514808683852091
2619,sound,v,0.8478617451660525
2403,role,n,0.8453509366224364
1463,increase,n,0.8453509366224364
2636,spend,v,0.8453509366224364
2180,procedure,n,0.8453509366224364
200,agree,v,0.8439491244805034
1151,finally,r,0.8435070855739036
2229,purpose,n,0.8426578772022391
1962,operator,n,0.8418521897563208
912,drink,v,0.8418521897563208
2437,save,v,0.8383729377099397
1715,manner,n,0.8366407419411673
508,cause,v,0.8352767572972767
169,actually,r,0.8346482851813829
2198,promise,v,0.8296071030882032
592,collect,v,0.8296071030882032
1543,issue,v,0.828055725379504
3112,yard,n,0.828055725379504
1372,high,a,0.82657581460261
2457,season,n,0.8256265261578954
966,eliminate,v,0.8256265261578954
3004,view,n,0.8256265261578954
1848,national,a,0.8238116333123173
1686,low,a,0.821812730503485
1248,further,r,0.8203636429576731
1061,expect,v,0.8164985919509031
1811,most,r,0.8162554088088008
1809,most,a,0.8112781244591328
2232,push,v,0.8112781244591328
2302,reflect,v,0.8112781244591328
2222,publish,v,0.8030909760146977
1819,mouth,n,0.8014698931335288
3021,vote,v,0.8014698931335288
1206,forget,v,0.799759411329176
1337,handle,v,0.7962699368824384
493,care,v,0.7958812735955936
2836,theory,n,0.7918583525674836
3066,white,a,0.7855602922535473
1034,every,s,0.7849920887641583
2936,turn_out,v,0.7824441294066888
95,New_York,n,0.7817281222714539
1125,feed,v,0.7771529943226336
930,early,a,0.7765557854444601
1768,military,a,0.7765557854444601
2559,situation,n,0.776116265618875
854,direct,v,0.7746319868686843
970,emerge,v,0.7732266742876345
689,contain,v,0.7710216226351874
1476,individual,n,0.7706290693639406
1317,ground,n,0.7682814090975241
1261,generally,r,0.7682814090975241
289,art,n,0.7671903206448684
2953,understand,v,0.7642045065086203
998,enter,v,0.7582971529373276
2393,right,n,0.7568336324184034
2565,skill,n,0.7553754125614287
2509,shake,v,0.7540340561971326
2753,supply,v,0.74959525725948
964,element,n,0.7467366074830679
1621,length,n,0.7467366074830679
639,completely,r,0.7467366074830679
1960,operate,v,0.7462343013654811
1479,industry,n,0.7438987452884342
605,come_in,v,0.7424875695421236
407,better,a,0.7401470427139037
2269,reaction,n,0.7382848661434506
3015,visit,v,0.7382848661434506
898,down,r,0.7367680100024784
1408,however,r,0.7323598883679042
3043,way,n,0.7285209480926162
1404,hour,n,0.7219280948873623
1045,example,n,0.7153220528038851
2102,political,a,0.7147274731317893
1851,nature,n,0.7140152804378671
1548,join,v,0.7131467486384921
2681,stop,v,0.7124534449668779
258,appear,v,0.7111203793829537
845,difference,n,0.7070040649747601
2275,real,a,0.7024665512903904
2179,problem,n,0.7013545780761166
1741,means,n,0.7007495497162063
1159,finish,v,0.6962122601251458
2556,sit,v,0.6946165926490012
2214,provide,v,0.6845484464298167
627,company,n,0.6840384356390417
1143,figure,n,0.6812908868842175
1208,form,n,0.6812908868842175
190,affect,v,0.6807937753703207
1128,feeling,n,0.6795851972782938
1284,go_on,v,0.6795851972782938
2794,talk,v,0.6743988870714471
629,compare,v,0.672294817075638
430,book,n,0.6699960320994333
1739,mean,v,0.6669738946843727
983,encourage,v,0.6619760641115653
938,eat,v,0.6609623351442084
2662,state,v,0.6587435307694673
3048,wear,v,0.6577047787442195
1923,observe,v,0.6559420757694149
1067,experiment,n,0.6554444445609847
1834,music,n,0.6500224216483541
2347,report,n,0.6500224216483541
1146,file,v,0.6500224216483541
2851,thought,n,0.6442142137378306
179,admit,v,0.6442142137378306
2077,plan,n,0.6373874992221911
1795,money,n,0.6278191534832795
1447,improve,v,0.6193821946787638
236,announce,v,0.617151919200282
1089,face,n,0.6152538910563409
3095,word,n,0.6098403047164005
2974,use,n,0.6086696755779567
660,condition,n,0.6051865766334205
2713,study,n,0.5983474220910422
2478,sell,v,0.5916727785823274
1623,less,r,0.5822463050121238
215,allow,v,0.5795353469249724
1925,obtain,v,0.5718989326097251
164,action,n,0.560576942614533
1350,head,n,0.5600443203590992
2025,pass,v,0.5406572280363557
2473,seem,v,0.5326872539936106
1680,lose,v,0.5302247498526307
2385,return,v,0.52764232609436
1826,much,r,0.5179618709530011
1775,mind,n,0.5179618709530011
1637,like,v,0.5137834295634157
953,effort,n,0.5107878229540133
438,boy,n,0.5091821114436996
555,city,n,0.5061252137852815
1910,now,r,0.4649225295584328
2676,still,r,0.4373127600334949
2445,school,n,0.4283781735341417
2461,second,s,0.4211660145082221
2076,place,v,0.4138168503036338
462,build,v,0.41164557093214915
2407,room,n,0.40907313904382653
1802,more,r,0.40327365195417136
2930,turn,v,0.34438910560526487
1625,let,v,0.3329913124162684
1295,good,a,0.3269693312473513
3000,very,r,0.26594279712591673
2730,such,s,0.20931241280367255
1029,even,r,0.20717693441454327
3029,want,v,0.20102639201641434
3113,year,n,0.19841638584223387
2975,use,v,0.14014358659363782
