word,pos,entropy,num_senses,freq
take,v,2.8151062515756373,12,675
thing,n,2.8128685083668987,8,264
meet,v,2.774647520362166,9,214
lead,v,2.6849820403861235,7,170
serve,v,2.3591474949708653,6,194
give,v,2.2685383380798423,9,704
raise,v,2.234669100831826,5,111
leave,v,2.2094928077015674,7,357
cover,v,2.1594706670121715,5,118
play,v,2.151680381933271,5,205
grow,v,2.10343769975151,5,157
life,n,2.0401576355655684,5,217
follow,v,2.0185233432376575,7,243
time,n,2.002841765003737,5,505
find,v,1.996949982035844,6,663
deny,v,1.9701081301924126,4,72
discover,v,1.9588470712818158,4,70
back,r,1.9474068811364393,5,168
line,n,1.912233987622732,5,100
make,v,1.9039109280197704,7,1401
feel,v,1.8949218437492206,5,403
death,n,1.8943249017489554,4,103
accept,v,1.8885521626143795,4,93
reach,v,1.8782203264261244,5,213
force,n,1.8614004981280574,4,84
call,v,1.850006160954403,4,223
write,v,1.8351129948246672,5,271
system,n,1.832076313498926,4,98
set,v,1.8314216022357548,4,83
history,n,1.7981302364384961,4,99
move,v,1.7890235700845696,4,228
change,n,1.781963881824319,4,103
end,n,1.772543316780131,4,112
side,n,1.7677549030282107,5,129
open,v,1.763864032920705,4,142
represent,v,1.7633641984729462,4,104
receive,v,1.7561056430619328,5,200
apply,v,1.7492714658814048,4,102
section,n,1.746881936456556,4,95
day,n,1.7446501694263055,4,313
see,v,1.7209534595342852,8,973
place,n,1.7185194955193304,4,141
hold,v,1.7156016683369506,4,267
think_of,v,1.7053342506164972,4,129
drive,v,1.68329215557638,4,106
bring,v,1.6529514490258512,4,227
state,n,1.6511430259225932,4,190
part,n,1.612205772838574,4,188
tell,v,1.6084929966193509,4,501
know,v,1.6034015080839683,5,872
suffer,v,1.584432282978147,3,52
show,v,1.583737838019866,4,381
form,v,1.5804875705837595,3,89
avoid,v,1.580145470046362,3,60
perform,v,1.578306427326721,3,64
scene,n,1.5763876836359467,3,45
indicate,v,1.5722287630593852,3,177
settle,v,1.5722260200806404,3,38
note,v,1.569616754514801,3,101
go,v,1.5686808988303984,5,461
right,r,1.5683637920859685,3,41
course,n,1.5663524721908524,4,99
paint,v,1.565574069793937,3,39
expression,n,1.5597895278350613,3,46
trouble,n,1.5503479964504263,3,45
direction,n,1.543729625637546,3,48
corner,n,1.541524223527652,3,45
major,a,1.5388976349892525,3,83
experience,n,1.5358536364396158,3,125
stage,n,1.5356567816703635,3,59
develop,v,1.5338236975176884,4,166
refer,v,1.530618994848517,3,56
shoot,v,1.5303120366919818,3,56
rise,v,1.527178431943376,3,89
work,v,1.5259133378083378,3,198
mark,v,1.5240434731607448,3,53
performance,n,1.5233498010622486,3,59
fit,v,1.5223368071545618,3,40
strike,v,1.5215018900472137,3,54
start,v,1.5188437932433765,4,258
think,v,1.5182936792422672,3,493
study,v,1.5177251219910801,4,109
break,v,1.5166238110793633,3,50
get,v,1.5096363891492828,4,646
fire,v,1.5083540234191586,3,53
contribute,v,1.5029852292101191,3,69
gain,v,1.5007878619027473,3,51
item,n,1.491512321370904,3,63
answer,n,1.4895274024025493,3,58
come,v,1.4867394990492926,5,620
plan,v,1.4824783834752846,3,82
measure,v,1.4814746538850163,3,69
hit,v,1.4802633805403866,3,81
produce,v,1.4732202517929909,3,130
hope,v,1.472564261373753,3,116
deal,v,1.472513749357935,3,62
sound,n,1.4712932185766467,3,53
game,n,1.4707311511307735,3,76
watch,v,1.4568308932827967,3,146
hang,v,1.4547509823331688,3,50
party,n,1.4541807323020552,3,54
speak,v,1.4500613909037192,3,147
hard,a,1.4448467229655133,3,62
heart,n,1.4424818181915766,3,66
change,v,1.4413678325547838,3,121
love,v,1.4411527094993095,3,81
wish,v,1.4366061768728948,3,72
express,v,1.434377290944614,3,98
wait,v,1.420808296061842,3,157
declare,v,1.4160013007337013,3,53
light,n,1.4156332062186274,3,77
point,n,1.4134178478753567,3,118
far,r,1.4126800388164762,3,103
maintain,v,1.4054342437848957,3,103
human,a,1.4044551990351313,3,80
world,n,1.403638625391077,3,149
put,v,1.402340119290613,3,257
consider,v,1.394830833453816,3,229
position,n,1.392461483252758,3,73
drop,v,1.3919702465210304,3,74
play,n,1.3917144813646967,3,53
field,n,1.3916128814599005,3,81
recognize,v,1.39050971585982,3,100
close,v,1.3743794325609968,3,84
involve,v,1.372482228697493,3,112
value,n,1.360964047443681,3,130
prepare,v,1.3604730389109894,3,71
remain,v,1.355595380399152,3,196
support,v,1.3548708565658478,3,74
report,v,1.348106130062573,3,128
quality,n,1.3442502541596542,3,70
keep,v,1.3353920420885956,5,303
end,v,1.3335410506649712,3,90
remember,v,1.3332361193357403,3,164
well,r,1.3330443114239643,3,115
present,v,1.3285216398294963,3,103
result,n,1.3276614050461624,3,131
source,n,1.3257519053652946,3,67
stand,v,1.3185058440138706,3,211
send,v,1.2963318321859545,3,128
treat,v,1.2962872661047358,3,81
suggest,v,1.2882167238882554,3,120
stay,v,1.2819683318512713,3,105
case,n,1.2119364462553628,3,127
look,v,1.207066096520423,3,361
surface,n,1.2013501705669356,3,136
determine,v,1.1865641271536418,3,165
ask,v,1.1785076650486637,3,408
live,v,1.1581506830054593,3,235
continue,v,1.1562771759512425,3,197
fill,v,1.1443414160813739,3,81
choose,v,1.1157602463144523,3,108
interest,n,1.1049844412475445,3,126
assume,v,1.0652400194324225,3,91
area,n,1.002967626870442,3,200
secretary,n,1.0,2,28
scientific,a,1.0,2,24
scale,n,1.0,2,20
property,n,1.0,2,60
representation,n,1.0,2,20
control,n,1.0,2,36
standard,n,1.0,2,22
notion,n,1.0,2,28
matter,n,1.0,2,56
note,n,1.0,2,26
at_least,r,0.9999454550766408,2,115
extend,v,0.9997431860710851,2,53
labor,n,0.9995256892936492,2,39
fear,v,0.9994730201859837,2,37
various,s,0.9994730201859837,2,74
culture,n,0.9994110647387552,2,35
match,v,0.9993375041688846,2,33
bond,n,0.9993375041688846,2,33
trade,n,0.9992492479956566,2,31
get_up,v,0.9990102708804813,2,27
commit,v,0.9988455359952018,2,25
charge,v,0.9988455359952018,2,25
account,n,0.9986359641585719,2,23
impose,v,0.9986359641585719,2,23
dry,v,0.9986359641585719,2,23
burn,v,0.9986359641585719,2,23
duty,n,0.9986359641585719,2,23
frequency,n,0.9986359641585719,2,23
operation,n,0.9986359641585719,2,23
professional,a,0.9986359641585719,2,23
search,v,0.9986359641585719,2,23
phase,n,0.9986359641585719,2,46
old,a,0.9984308211272699,2,193
brush,v,0.998363672593813,2,21
choice,n,0.998363672593813,2,21
go_down,v,0.998363672593813,2,21
definition,n,0.998363672593813,2,21
preserve,v,0.9980008838722995,2,38
reject,v,0.997772472089982,2,36
news,n,0.9975025463691153,2,34
voice,n,0.9972943816462349,2,98
long,a,0.9971803988942641,2,192
cause,n,0.9971803988942641,2,32
task,n,0.9967916319816367,2,30
benefit,n,0.9967916319816367,2,30
need,v,0.9965999782846083,2,204
propose,v,0.996485989886783,2,43
combine,v,0.9963165195589622,2,28
thin,a,0.9963165195589622,2,28
assumption,n,0.9963165195589622,2,28
fix,v,0.9963165195589622,2,28
circle,n,0.9957274520849256,2,26
unit,n,0.9957274520849256,2,26
smell,v,0.9957274520849256,2,26
threaten,v,0.995252549439679,2,37
together,r,0.995252549439679,2,37
wrong,a,0.99498482818597,2,24
snow,n,0.99498482818597,2,24
lie,v,0.9949078777104005,2,131
result,v,0.9948631079048572,2,83
foot,n,0.9941939797828719,2,145
abandon,v,0.9940302114769566,2,22
insure,v,0.9940302114769566,2,22
treatment,n,0.9940302114769566,2,55
pretend,v,0.9940302114769566,2,22
church,n,0.9936507116910405,2,128
list,v,0.9934472383802027,2,42
aspect,n,0.9934472383802027,2,42
grant,v,0.9932338197397066,2,31
pass_through,v,0.9932338197397066,2,31
pattern,n,0.9930554830121975,2,51
face,v,0.9927744539878083,2,100
spirit,n,0.9924760039430819,2,49
discussion,n,0.9924760039430819,2,49
dance,v,0.9922666387194963,2,29
sign,v,0.9922666387194963,2,29
prove,v,0.9920686248447117,2,105
pick_up,v,0.9918207974218425,2,47
wonder,v,0.9910760598382222,2,81
assemble,v,0.9910760598382222,2,27
sing,v,0.9901226308935799,2,77
rather,r,0.9900829509840567,2,111
quite,r,0.989884644089986,2,93
work,n,0.9897931752818661,2,202
proclaim,v,0.9895875212220555,2,25
hero,n,0.9895875212220555,2,25
captain,n,0.9895875212220555,2,25
roll,v,0.9892452969285004,2,41
defend,v,0.9886994082884974,2,32
question,v,0.9886994082884974,2,32
imply,v,0.9886994082884974,2,32
establish,v,0.9886994082884974,2,112
point,v,0.9886994082884974,2,32
tone,n,0.9881108365218302,2,39
final,s,0.9876925088958033,2,46
demonstrate,v,0.9876925088958033,2,46
flow,v,0.9876925088958033,2,23
dream,v,0.9876925088958033,2,23
earth,n,0.9871377743721862,2,30
plane,n,0.9867867202680318,2,37
carry_out,v,0.9867867202680318,2,37
volume,n,0.9865446300055644,2,44
policy,n,0.9862325350724501,2,58
story,n,0.9852281360342515,2,56
design,n,0.9852281360342515,2,28
control,v,0.9839393951635759,2,47
earn,v,0.9833761901392238,2,33
increase,v,0.9830968737122373,2,144
toss,v,0.9828586897127057,2,26
cloud,n,0.9828586897127057,2,26
prefer,v,0.9819407868640977,2,38
payment,n,0.980597440991727,2,55
fight,v,0.980377508715691,2,79
arrange,v,0.9798687566511527,2,24
expose,v,0.9798687566511527,2,24
pair,n,0.9798687566511527,2,24
transform,v,0.9798687566511527,2,24
question,n,0.9795438195294628,2,125
conduct,v,0.9793399259567799,2,77
present,a,0.9789987370022761,2,94
order,v,0.9788698505067782,2,41
consideration,n,0.9784493292686188,2,29
persuade,v,0.9784493292686188,2,29
loss,n,0.9784493292686188,2,29
meaning,n,0.9782176659354249,2,75
begin,v,0.9775015772983271,3,359
university,n,0.9774178175281716,2,34
work_out,v,0.975119064940866,2,27
maturity,n,0.975119064940866,2,27
technical,a,0.975119064940866,2,27
store,v,0.975119064940866,2,27
investigate,v,0.975119064940866,2,27
family,n,0.9744894033980523,2,128
class,n,0.9744894033980523,2,32
natural,a,0.974024864435752,2,37
introduce,v,0.9733854352299557,2,47
share,v,0.9729661265889025,2,57
destroy,v,0.9726699911457106,2,67
development,n,0.9720334868479674,2,107
subject,n,0.9709505944546688,2,50
extension,n,0.9709505944546688,2,25
become,v,0.9709505944546688,2,510
faith,n,0.9709505944546688,2,30
ear,n,0.9709505944546688,2,30
apart,r,0.9709505944546688,2,25
memory,n,0.9709505944546688,2,35
score,v,0.9709505944546688,2,30
please,v,0.9709505944546688,2,25
ride,v,0.9694309156463241,2,78
run,v,0.96838448165791,3,154
character,n,0.9677884628267678,2,38
extent,n,0.9677884628267678,2,38
survive,v,0.9672947789468945,2,33
justify,v,0.9666186325481027,2,28
little,a,0.9659594947259894,2,171
activity,n,0.9656361333706097,2,92
draw,v,0.964078764808229,2,36
amount,n,0.9637261681930318,2,103
away,r,0.9631672450918831,2,80
look,n,0.9629004147713268,2,31
inside,r,0.9629004147713268,2,31
land,n,0.9621461334087001,2,57
stretch,v,0.961236604722876,2,26
club,n,0.961236604722876,2,26
failure,n,0.961236604722876,2,26
read,v,0.9610173739815361,3,145
sale,n,0.9601186626422924,2,47
cell,n,0.9598636448150403,2,115
enjoy,v,0.9578630237479795,2,79
shift,v,0.9575534837147484,2,29
win,v,0.9568886656798214,2,111
vary,v,0.9561550236844027,2,53
possibility,n,0.954434002924965,2,48
requirement,n,0.954434002924965,2,48
first,r,0.954434002924965,2,96
prevent,v,0.9534985819759996,2,99
act,v,0.9526092095121206,2,51
remind,v,0.9517626756348312,2,35
miss,v,0.9517626756348312,2,35
directly,r,0.9517626756348312,2,35
slide,v,0.9509560484549724,2,27
appreciate,v,0.9509560484549724,2,27
curve,n,0.9509560484549724,2,27
head,v,0.9486131982385807,2,49
message,n,0.9480782435939054,2,30
require,v,0.94753043531895,3,181
rate,n,0.946343998170766,2,107
act,n,0.9456603046006401,2,55
plant,n,0.9456603046006401,2,99
board,n,0.9456603046006401,2,44
listen,v,0.9447388286467889,2,80
distribution,n,0.943601631299382,2,36
around,r,0.943601631299382,2,36
close,a,0.9432261548473416,2,61
design,v,0.9418285354475157,2,78
top,n,0.9418285354475157,2,39
reality,n,0.9418285354475157,2,39
function,n,0.9411864371816834,2,67
success,n,0.940285958670631,2,56
special,s,0.940285958670631,2,56
fire,n,0.940285958670631,2,28
judgment,n,0.940285958670631,2,28
hope,n,0.9389320105807949,2,45
sense,n,0.9383153522334069,2,62
half,s,0.9383153522334069,2,31
response,n,0.9383153522334069,2,31
happen,v,0.9374806998946041,3,180
dark,a,0.9366673818775625,2,51
difficulty,n,0.9366673818775625,2,34
war,n,0.9366673818775625,2,68
gas,n,0.9352691398683567,2,37
structure,n,0.9352691398683567,2,37
piece,n,0.9352691398683567,2,37
spread,v,0.9340680553754911,2,40
level,n,0.933222699412588,2,106
find_out,v,0.9313043685793762,2,49
accompany,v,0.9283620723948678,2,32
lay,v,0.9283620723948678,2,32
confront,v,0.9283620723948678,2,32
exceed,v,0.9283620723948678,2,32
hear,v,0.9275411740102957,3,291
glass,n,0.9275265884316759,2,35
set,n,0.9262122127346664,2,41
deliver,v,0.9256859869821298,2,44
growth,n,0.9241335419915458,2,56
paper,n,0.9235785996175947,2,62
learn,v,0.922825073250271,2,145
moment,n,0.9213796449361407,2,107
production,n,0.9182958340544894,2,54
divide,v,0.9182958340544894,2,36
pain,n,0.9182958340544894,2,33
foreign,a,0.9182958340544894,2,30
model,n,0.9182958340544894,2,33
shout,v,0.9182958340544894,2,48
add,v,0.9165590271665273,2,193
include,v,0.9162739525300685,3,292
country,n,0.915207326151564,2,109
pay,v,0.9132829641650988,3,190
thus,r,0.913122490909417,2,131
month,n,0.9117517586347538,2,104
reveal,v,0.9113423759758418,2,49
fail,v,0.9111178649415465,2,95
radiation,n,0.9108783787500366,2,46
number,n,0.9097361225311661,2,200
table,n,0.9093934226727597,2,77
law,n,0.9093934226727597,2,77
shot,n,0.9090221560878149,2,37
order,n,0.9090221560878149,2,37
succeed,v,0.9090221560878149,2,37
dollar,n,0.9081783472997053,2,34
examine,v,0.9081783472997053,2,34
notice,v,0.906579548498746,2,59
degree,n,0.9052002969560479,2,53
short,a,0.9052002969560479,2,53
argue,v,0.9043814577244939,2,50
information,n,0.9037762882345833,2,144
open,a,0.9034535552068337,2,47
share,n,0.9023932827949789,2,44
define,v,0.9011701959974223,2,41
neighborhood,n,0.9011701959974223,2,41
space,n,0.8997437586982626,2,38
product,n,0.8989377852081333,2,73
step,n,0.8986533756907481,2,54
cost,v,0.8974271930876951,2,51
go_out,v,0.8960382325345574,2,32
offer,v,0.8950051289257759,2,138
common,a,0.8944518845341284,2,45
nod,v,0.8926230133850988,2,42
job,n,0.8913309584070231,2,107
regard,v,0.8904916402194913,2,39
floor,n,0.8904916402194913,2,52
newspaper,n,0.8904916402194913,2,39
tradition,n,0.8904916402194913,2,39
believe,v,0.8893751863481874,3,215
fact,n,0.8856128713989709,2,112
staining,n,0.8849636363831529,2,33
contrast,n,0.8849636363831529,2,33
suppose,v,0.8829589691462253,2,73
pressure,n,0.8800270477157601,2,97
need,n,0.8800270477157601,2,97
material,n,0.8791357668533337,2,114
claim,n,0.8779620013943912,2,37
help,v,0.877311937374348,3,226
film,n,0.876716288999464,2,54
derive,v,0.8739810481273579,2,34
stem,n,0.8739810481273579,2,34
program,n,0.8729882944709463,2,150
swing,v,0.8721617883411699,2,41
intensity,n,0.8721617883411699,2,41
business,n,0.8716836171199819,2,65
claim,v,0.8708644692353646,2,48
child,n,0.870346054692958,2,206
check,v,0.8680403986166402,2,38
air,n,0.8667256130949591,2,52
great,s,0.8659653498997097,2,132
evidence,n,0.8605553930586319,2,74
refuse,v,0.8599530497177523,2,60
organization,n,0.8582307926411411,2,39
reason,n,0.8538738465459897,2,104
fall,v,0.8524051786494786,2,72
marriage,n,0.8524051786494786,2,36
create,v,0.8518455800500334,2,137
power,n,0.8514808683852091,2,83
particular,s,0.8485481782946158,2,40
sound,v,0.8478617451660525,2,51
role,n,0.8453509366224364,2,44
increase,n,0.8453509366224364,2,77
procedure,n,0.8453509366224364,2,55
spend,v,0.8453509366224364,2,132
agree,v,0.8439491244805034,2,92
finally,r,0.8435070855739036,2,70
purpose,n,0.8426578772022391,2,96
drink,v,0.8418521897563208,2,37
operator,n,0.8418521897563208,2,37
save,v,0.8383729377099397,2,56
manner,n,0.8366407419411673,2,45
cause,v,0.8352767572972767,2,143
actually,r,0.8346482851813829,2,49
collect,v,0.8296071030882032,2,42
promise,v,0.8296071030882032,2,42
yard,n,0.828055725379504,2,46
issue,v,0.828055725379504,2,46
high,a,0.82657581460261,2,177
eliminate,v,0.8256265261578954,2,54
view,n,0.8256265261578954,2,54
season,n,0.8256265261578954,2,54
national,a,0.8238116333123173,2,62
low,a,0.821812730503485,2,74
expect,v,0.8164985919509031,3,234
reflect,v,0.8112781244591328,2,68
push,v,0.8112781244591328,2,64
publish,v,0.8030909760146977,2,49
vote,v,0.8014698931335288,2,41
mouth,n,0.8014698931335288,2,41
forget,v,0.799759411329176,2,70
handle,v,0.7962699368824384,2,54
care,v,0.7958812735955936,2,79
theory,n,0.7918583525674836,2,63
white,a,0.7855602922535473,2,64
turn_out,v,0.7824441294066888,2,43
New_York,n,0.7817281222714539,2,56
feed,v,0.7771529943226336,2,61
military,a,0.7765557854444601,2,48
early,a,0.7765557854444601,2,96
situation,n,0.776116265618875,2,83
direct,v,0.7746319868686843,2,57
emerge,v,0.7732266742876345,2,44
contain,v,0.7710216226351874,2,146
individual,n,0.7706290693639406,2,62
ground,n,0.7682814090975241,2,49
generally,r,0.7682814090975241,2,49
art,n,0.7671903206448684,2,67
man,n,0.7655562587579493,3,566
understand,v,0.7642045065086203,2,135
enter,v,0.7582971529373276,2,137
right,n,0.7568336324184034,2,55
skill,n,0.7553754125614287,2,46
shake,v,0.7540340561971326,2,60
supply,v,0.74959525725948,2,56
element,n,0.7467366074830679,2,47
length,n,0.7467366074830679,2,47
completely,r,0.7467366074830679,2,47
operate,v,0.7462343013654811,2,80
industry,n,0.7438987452884342,2,71
come_in,v,0.7424875695421236,2,57
better,a,0.7401470427139037,2,86
visit,v,0.7382848661434506,2,72
reaction,n,0.7382848661434506,2,48
however,r,0.7323598883679042,3,195
way,n,0.7285209480926162,3,269
hour,n,0.7219280948873623,2,110
example,n,0.7153220528038851,2,61
political,a,0.7147274731317893,2,56
join,v,0.7131467486384921,2,92
stop,v,0.7124534449668779,2,128
appear,v,0.7111203793829537,3,230
range,n,0.7062740891876007,2,52
real,a,0.7024665512903904,2,63
problem,n,0.7013545780761166,2,179
means,n,0.7007495497162063,2,58
finish,v,0.6962122601251458,2,64
sit,v,0.6946165926490012,2,166
provide,v,0.6845484464298167,3,311
company,n,0.6840384356390417,2,77
form,n,0.6812908868842175,2,216
figure,n,0.6812908868842175,2,144
affect,v,0.6807937753703207,2,61
go_on,v,0.6795851972782938,2,89
feeling,n,0.6795851972782938,2,89
talk,v,0.6743988870714471,2,124
compare,v,0.672294817075638,2,68
book,n,0.6699960320994333,2,57
mean,v,0.6669738946843727,2,247
encourage,v,0.6619760641115653,2,64
eat,v,0.6609623351442084,2,70
state,v,0.6587435307694673,2,88
wear,v,0.6577047787442195,2,100
observe,v,0.6559420757694149,2,65
experiment,n,0.6554444445609847,2,71
report,n,0.6500224216483541,2,60
file,v,0.6500224216483541,2,60
music,n,0.6500224216483541,2,60
occur,v,0.6460174789535751,2,97
thought,n,0.6442142137378306,2,67
admit,v,0.6442142137378306,2,67
plan,n,0.6373874992221911,2,62
money,n,0.6278191534832795,2,89
improve,v,0.6193821946787638,2,78
announce,v,0.617151919200282,2,85
face,n,0.6152538910563409,2,138
word,n,0.6098403047164005,2,140
use,n,0.6086696755779567,2,107
condition,n,0.6051865766334205,2,81
study,n,0.5983474220910422,2,110
sell,v,0.5916727785823274,2,84
less,r,0.5822463050121238,2,79
allow,v,0.5795353469249724,2,123
obtain,v,0.5718989326097251,2,133
action,n,0.560576942614533,2,122
head,n,0.5600443203590992,2,168
pass,v,0.5406572280363557,2,121
seem,v,0.5326872539936106,2,586
lose,v,0.5302247498526307,2,133
return,v,0.52764232609436,2,134
mind,n,0.5179618709530011,2,112
much,r,0.5179618709530011,2,112
like,v,0.5137834295634157,2,157
effort,n,0.5107878229540133,2,88
boy,n,0.5091821114436996,2,168
city,n,0.5061252137852815,2,116
still,r,0.4373127600334949,2,277
school,n,0.4283781735341417,2,137
place,v,0.4138168503036338,2,156
build,v,0.41164557093214915,2,133
room,n,0.40907313904382653,2,122
turn,v,0.34438910560526487,2,171
let,v,0.3329913124162684,2,228
good,a,0.3269693312473513,2,167
even,r,0.20717693441454327,2,399
want,v,0.20102639201641434,2,383
use,v,0.14014358659363782,2,607
